mean_test_score,param_alpha,param_fit_intercept,param_max_iter,param_selection
105.79379890567039,0.5,True,200,cyclic
105.79379705245144,0.5,True,200,random
105.79379890567039,0.5,True,1000,cyclic
105.7937987543196,0.5,True,1000,random
106.02675238212791,0.5,False,200,cyclic
105.99120340749968,0.5,False,200,random
105.95445362472068,0.5,False,1000,cyclic
105.95771593299098,0.5,False,1000,random
105.79414792297268,1.0,True,200,cyclic
105.79414749994433,1.0,True,200,random
105.79414792297268,1.0,True,1000,cyclic
105.79412941989408,1.0,True,1000,random
106.02742130281949,1.0,False,200,cyclic
105.95487987063397,1.0,False,200,random
105.95491969852921,1.0,False,1000,cyclic
105.95029424816877,1.0,False,1000,random
105.79851663468426,5,True,200,cyclic
105.7985163470914,5,True,200,random
105.79851663468426,5,True,1000,cyclic
105.79851343805596,5,True,1000,random
106.03427916072583,5,False,200,cyclic
106.01982992540948,5,False,200,random
105.96022393641825,5,False,1000,cyclic
105.96725216662489,5,False,1000,random
105.80789019422332,10,True,200,cyclic
105.80789131252997,10,True,200,random
105.80789019422332,10,True,1000,cyclic
105.80788959938418,10,True,1000,random
106.04650678776719,10,False,200,cyclic
105.99197211502408,10,False,200,random
105.97060912011213,10,False,1000,cyclic
105.97671317510454,10,False,1000,random
